,,AAPL,AMZN,META,NVDA,TSLA
y_oc,std,0.49960285272253807,0.5003368272591764,0.5004434975145744,0.5004268317859899,0.500456829697852
y_oc,min,0.0,0.0,0.0,0.0,0.0
y_oc,25%,0.0,0.0,0.0,0.0,0.0
y_oc,50%,1.0,0.0,1.0,1.0,0.5
y_oc,75%,1.0,1.0,1.0,1.0,1.0
y_oc,max,1.0,1.0,1.0,1.0,1.0
y_cc,count,548.0,548.0,548.0,548.0,548.0
y_cc,mean,0.5255474452554745,0.5237226277372263,0.5164233576642335,0.5547445255474452,0.5492700729927007
y_cc,std,0.49980313449154634,0.49989323510841704,0.5001867837243119,0.49744808413047104,0.49802114451340757
y_cc,min,0.0,0.0,0.0,0.0,0.0
y_cc,25%,0.0,0.0,0.0,0.0,0.0
y_cc,50%,1.0,1.0,1.0,1.0,1.0
y_cc,75%,1.0,1.0,1.0,1.0,1.0
y_cc,max,1.0,1.0,1.0,1.0,1.0
