Date,Ticker,Volume,StockChange,Target,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2026-01-02,TSLA,85535400,-0.043097380941112,1,0.0503276740045288,0.0481,0.0085,0.9435,2,0.0396,0.8505,0.0565
2026-01-05,TSLA,67940800,0.0082145210240838,-1,0.0289738180577634,0.0028,0.0032,0.994,2,-0.0004,0.4677,0.006
2026-01-06,TSLA,89093800,-0.0300641007234576,-1,0.0436175478465137,0.0,0.329,0.6709,3,-0.329,0.0001,0.3291
2026-01-07,TSLA,59828800,-0.0103005053848228,1,0.01624222682129,0.93,0.0044,0.0656,2,0.9256,0.9953,0.9344
2026-01-08,TSLA,57041100,0.018485996105869,1,0.0292599011489826,1.0,0.0,0.0,2,1.0,1.0,1.0
2026-01-12,TSLA,61649600,0.0175191629677916,-1,0.0369421557625505,0.0018,0.059,0.9391,1,-0.0572,0.0303,0.0609
2026-01-14,TSLA,57259500,-0.0081524477122601,-1,0.021882980273326,0.0042,0.017,0.9788,3,-0.0128,0.1969,0.0212
2026-01-15,TSLA,49465800,-0.005803272346604,-1,0.0174778214352621,0.0001,0.0,0.9999,1,0.0001,0.7872,0.0001
2026-01-20,TSLA,63187300,-0.0235466408060462,1,0.030953067352189,0.25,0.0001,0.7499,4,0.2499,0.9995,0.2501
2026-01-21,TSLA,68124000,0.023194039497125,1,0.0440639779169869,0.4982,0.2524,0.2494,4,0.2458,0.6638,0.7506
2026-01-22,TSLA,71546700,0.0326316333531402,-1,0.0387673383932743,0.5761,0.0832,0.3408,3,0.4929,0.8739,0.6592
2026-01-23,TSLA,56771400,0.0036430389323355,-1,0.0187515013928425,0.3334,0.3337,0.3329,3,-0.0003,0.4998,0.6671
2026-01-26,TSLA,49397400,-0.0220224444785814,-1,0.0241797972261235,0.9923,0.0,0.0077,1,0.9922,1.0,0.9923
2026-01-27,TSLA,37733100,-0.0148830838598146,1,0.0156146098970831,0.1344,0.1279,0.7378,2,0.0065,0.5124,0.2622
2026-01-28,TSLA,54857400,-0.0010419119798468,-1,0.0188928332127567,0.3511,0.1773,0.4715,12,0.1738,0.6644,0.5285
2026-01-29,TSLA,81686100,-0.0485152828382882,1,0.0584970684861036,0.3804,0.2088,0.4108,151,0.1716,0.6456,0.5892
2026-01-30,TSLA,82626100,0.0118960796661239,-1,0.0403902490402225,0.3229,0.1837,0.4934,69,0.1392,0.6374,0.5066
2026-02-02,TSLA,58739500,0.0012342780581667,1,0.0300268072821753,0.4991,0.25,0.2509,4,0.249,0.6662,0.7491
2026-02-03,TSLA,56886500,-0.0054446404846214,-1,0.0350484255361938,0.5255,0.0668,0.4077,4,0.4587,0.8872,0.5923
2026-02-04,TSLA,74606900,-0.0343670788734175,-1,0.0587927548948355,0.2869,0.0348,0.6783,7,0.2522,0.8919,0.3217
2026-02-06,TSLA,62677100,0.025544416791238,1,0.0419088183141709,0.0,0.0005,0.9995,1,-0.0005,0.0183,0.0005
2026-02-09,TSLA,54484300,0.0180771476565804,1,0.0340562351012672,0.0006,0.0067,0.9928,1,-0.0061,0.0807,0.0072
2026-02-10,TSLA,64450200,0.0170541645422198,1,0.024516839669933,0.0041,0.9868,0.0091,1,-0.9826,0.0042,0.9909
2026-02-11,TSLA,57362000,0.0007243610729585,-1,0.0381344229602636,0.009,0.6819,0.3092,2,-0.6729,0.013,0.6908
