Date,Ticker,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2026-03-28,AMZN,0.3166,0.3788,0.3046,16,-0.0621,0.4553,0.6954
2026-03-28,BRK-B,0.0022,0.6667,0.3311,3,-0.6645,0.0033,0.6689
2026-03-28,GOOGL,0.174,0.5078,0.3182,24,-0.3337,0.2552,0.6818
2026-03-28,JPM,0.2234,0.1754,0.6012,9,0.048,0.5601,0.3988
2026-03-28,META,0.2539,0.3463,0.3998,26,-0.0924,0.423,0.6002
2026-03-28,MSFT,0.4442,0.1577,0.3981,21,0.2866,0.7381,0.6019
2026-03-28,TSLA,0.1536,0.3435,0.503,19,-0.1899,0.309,0.497
2026-03-28,UNH,0.081,0.3521,0.5669,2,-0.2711,0.187,0.4331
2026-03-29,AAPL,0.2612,0.2571,0.4818,13,0.0041,0.504,0.5182
2026-03-29,AMZN,0.4408,0.3445,0.2147,13,0.0963,0.5613,0.7853
2026-03-29,BRK-B,0.4984,0.2505,0.2511,4,0.2479,0.6655,0.7489
2026-03-29,GOOGL,0.3304,0.3802,0.2894,21,-0.0498,0.465,0.7106
2026-03-29,JPM,0.0191,0.6905,0.2904,6,-0.6714,0.0269,0.7096
2026-03-29,META,0.2568,0.5004,0.2428,24,-0.2435,0.3392,0.7572
2026-03-29,MSFT,0.5346,0.2331,0.2323,14,0.3014,0.6963,0.7677
2026-03-29,TSLA,0.3708,0.3182,0.311,12,0.0526,0.5382,0.689
2026-03-30,AAPL,0.3935,0.2524,0.3541,44,0.1411,0.6092,0.6459
2026-03-30,AMZN,0.3612,0.3086,0.3302,58,0.0526,0.5392,0.6698
2026-03-30,BRK-B,0.5001,0.1665,0.3334,6,0.3336,0.7502,0.6666
2026-03-30,GOOGL,0.4087,0.25,0.3413,61,0.1588,0.6205,0.6587
2026-03-30,JPM,0.307,0.3353,0.3577,41,-0.0283,0.478,0.6423
2026-03-30,META,0.444,0.2328,0.3232,75,0.2112,0.656,0.6768
2026-03-30,MSFT,0.4305,0.2498,0.3197,71,0.1808,0.6328,0.6803
2026-03-30,TSLA,0.3305,0.3272,0.3423,55,0.0033,0.5025,0.6577
2026-03-30,UNH,0.0087,0.0002,0.9911,2,0.0085,0.9745,0.0089
2026-03-31,AAPL,0.3534,0.2413,0.4053,88,0.1121,0.5943,0.5947
2026-03-31,AMZN,0.4308,0.1412,0.428,98,0.2896,0.7532,0.572
2026-03-31,BRK-B,0.0726,0.2428,0.6846,14,-0.1702,0.2302,0.3154
2026-03-31,GOOGL,0.4074,0.2982,0.2944,105,0.1092,0.5774,0.7056
2026-03-31,JPM,0.4273,0.1218,0.451,51,0.3055,0.7782,0.549
2026-03-31,META,0.4331,0.234,0.3329,89,0.1991,0.6492,0.6671
2026-03-31,MSFT,0.4298,0.2044,0.3658,113,0.2254,0.6777,0.6342
2026-03-31,TSLA,0.3635,0.2302,0.4063,57,0.1333,0.6122,0.5937
2026-03-31,UNH,0.1087,0.03,0.8613,4,0.0787,0.7838,0.1387
2026-04-01,AAPL,0.0001,0.0002,0.9997,1,-0.0,0.4772,0.0003
2026-04-01,AMZN,0.0993,0.0002,0.9005,4,0.0991,0.9983,0.0995
2026-04-01,BRK-B,0.0001,0.0016,0.9983,4,-0.0015,0.0529,0.0017
