Date,Ticker,Target,Volume,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index,Score_Net_Lag1,Score_Net_Lag2,Score_Net_Lag3,Score_Net_Lag5,Volume_Messages_Lag1,Volume_Messages_Lag2,Volume_Messages_Lag3,Volume_Messages_Lag5,Volume_Lag1,Volume_Lag2,Volume_Lag3,Volume_Lag5,Polarite_Index_Lag1,Polarite_Index_Lag2,Polarite_Index_Lag3,Polarite_Index_Lag5,Bullishness_Index_Lag1,Bullishness_Index_Lag2,Bullishness_Index_Lag3,Bullishness_Index_Lag5,Volatility_20d,Volume_Avg20d
2025-06-03,BRK-B,0,5923100,0.0185229516552831,0.9997,0.0,0.0003,1,0.9997,1.0,0.9997,0.0,-0.0041,-0.0101,0.2499,2.0,2.0,4.0,4.0,4914000.0,9153100.0,3656000.0,3244800.0,0.0004,0.0048,0.4715,0.25,0.5473,0.0699,0.4893,0.9997,0.007322773435816135,5405695.0
2025-06-03,GOOGL,0,45084900,0.0191055993987222,0.0009,0.8856,0.1135,1,-0.8847,0.001,0.8865,0.5,1.0,-0.0,-0.4903,2.0,1.0,1.0,2.0,52639900.0,37995700.0,35211400.0,46607700.0,0.5001,1.0,0.0,0.4903,1.0,1.0,0.0284,0.0,0.022517843474607536,47043875.0
2025-06-03,META,0,11585000,0.0157122460364417,0.5,0.0,0.4999,4,0.5,1.0,0.5001,0.0031,-0.0,0.9975,-0.0145,1.0,1.0,1.0,1.0,15766300.0,8858800.0,8228400.0,14341800.0,0.0032,0.0,0.9975,0.0188,0.9958,0.4141,1.0,0.1126,0.023898564024776858,17008400.0
2025-06-03,TSLA,0,99324500,0.0356606610903263,0.0,0.0332,0.9668,4,-0.0332,0.0006,0.0332,0.0017,0.3902,1.0,0.3648,2.0,2.0,1.0,1.0,123474900.0,88087800.0,91404300.0,84654800.0,0.9997,0.3905,1.0,0.3721,0.5009,0.9996,1.0,0.9902,0.022778658431840702,114493895.0
2025-06-04,AAPL,0,43604000,0.0204031310183332,0.0,1.0,0.0,1,-1.0,0.0,1.0,0.4994,-1.0,-0.5819,0.0001,2.0,1.0,1.0,1.0,45339700.0,56288500.0,78432900.0,51909300.0,0.5008,1.0,0.6182,0.0001,0.9986,0.0,0.0294,0.9447,0.04273990371211908,82904445.0
2025-06-04,AMZN,1,29915600,0.0145243280352227,0.4976,0.001,0.5015,2,0.4966,0.998,0.4985,1.0,0.646,-0.0001,0.9999,1.0,2.0,1.0,1.0,29113300.0,51679400.0,34650000.0,34892000.0,1.0,0.6475,0.0001,0.9999,1.0,0.9988,0.1758,1.0,0.01225274616816415,45664675.0
2025-06-04,BRK-B,0,5297600,0.012295217373415,0.022,0.4026,0.5754,2,-0.3806,0.0518,0.4246,0.9997,0.0,-0.0041,-0.3945,1.0,2.0,2.0,1.0,5923100.0,4914000.0,9153100.0,3166800.0,0.9997,0.0004,0.0048,0.3959,1.0,0.5473,0.0699,0.0018,0.007368440661564894,5489915.0
2025-06-04,META,1,14031900,0.0305235051279214,0.7027,0.0,0.2973,4,0.7027,1.0,0.7027,0.5,0.0031,-0.0,0.7247,4.0,1.0,1.0,1.0,11585000.0,15766300.0,8858800.0,18519000.0,0.5001,0.0032,0.0,0.7341,1.0,0.9958,0.4141,0.9936,0.02101011248846244,16178975.0
2025-06-04,MSFT,0,14162700,0.0057543392839102,0.0,0.0,1.0,1,-0.0,0.2759,0.0,1.0,0.9978,0.9975,0.5108,1.0,1.0,1.0,2.0,34770500.0,13974800.0,18025600.0,19902800.0,1.0,1.0,0.9975,0.5208,1.0,0.9989,1.0,0.9905,0.025501191758764547,25565170.0
2025-06-04,TSLA,0,98912100,0.052941232130172,0.0,0.0094,0.9905,4,-0.0094,0.0043,0.0095,-0.0332,0.0017,0.3902,-0.0002,4.0,2.0,2.0,1.0,99324500.0,123474900.0,88087800.0,120146400.0,0.0332,0.9997,0.3905,0.0003,0.0006,0.5009,0.9996,0.1407,0.02280234270366268,112651405.0
2025-06-05,BRK-B,0,5154900,0.0110035535333354,0.0,0.0004,0.9995,1,-0.0004,0.1009,0.0005,-0.3806,0.9997,0.0,-0.0101,2.0,1.0,2.0,4.0,5297600.0,5923100.0,4914000.0,3656000.0,0.4246,0.9997,0.0004,0.4715,0.0518,1.0,0.5473,0.4893,0.0077083460010436465,5492215.0
2025-06-05,JPM,0,8173800,0.0167333717579249,1.0,0.0,0.0,1,1.0,1.0,1.0,-0.2058,-0.4516,-0.0,-0.4618,1.0,2.0,1.0,4.0,6011200.0,10977700.0,7506600.0,8436300.0,0.2069,0.452,0.0,0.4921,0.0026,0.0005,0.4279,0.0308,0.017175919504568517,11958735.0
2025-06-05,META,0,13083100,0.0175375261744078,0.0166,0.0002,0.9832,2,0.0163,0.9866,0.0168,0.7027,0.5,0.0031,0.9975,4.0,4.0,1.0,1.0,14031900.0,11585000.0,15766300.0,8228400.0,0.7027,0.5001,0.0032,0.9975,1.0,1.0,0.9958,1.0,0.019022598417408776,16174025.0
2025-06-05,TSLA,0,287499800,0.1591987283096086,0.2063,0.2023,0.5914,5,0.004,0.5049,0.4086,-0.0094,-0.0332,0.0017,1.0,4.0,4.0,2.0,1.0,98912100.0,99324500.0,123474900.0,91404300.0,0.0095,0.0332,0.9997,1.0,0.0043,0.0006,0.5009,1.0,0.023818651019204815,112590250.0
2025-06-06,AMZN,1,39832500,0.0158662674860052,0.0,0.499,0.501,2,-0.499,0.0,0.499,0.4966,1.0,0.646,0.9108,2.0,1.0,2.0,1.0,29915600.0,29113300.0,51679400.0,28549800.0,0.4985,1.0,0.6475,0.9109,0.998,1.0,0.9988,0.9999,0.011632337801255574,44754150.0
